kernel,n,time_s,gflops,checksum
saxpy,1,0.000000,0.015873,4.973140e-01
saxpy,1,0.000000,0.027778,5.809888e-01
saxpy,1,0.000000,0.052632,6.646637e-01
saxpy,2,0.000000,0.100000,4.372979e+00
saxpy,2,0.000000,0.102564,6.183243e+00
saxpy,2,0.000000,0.133333,7.993507e+00
saxpy,4,0.000000,0.163266,9.700849e+00
saxpy,4,0.000000,0.160000,1.361817e+01
saxpy,4,0.000000,0.186047,1.753550e+01
saxpy,8,0.000000,0.280702,1.684382e+01
saxpy,8,0.000000,0.253969,2.348928e+01
saxpy,8,0.000000,0.326531,3.013474e+01
saxpy,16,0.000000,0.457142,4.375179e+01
saxpy,16,0.000000,0.426669,6.153665e+01
saxpy,16,0.000000,0.444444,7.932151e+01
saxpy,32,0.000000,0.876711,1.040634e+02
saxpy,32,0.000000,0.646466,1.480929e+02
saxpy,32,0.000000,0.688173,1.921225e+02
saxpy,64,0.000000,0.914284,2.032927e+02
saxpy,64,0.000000,0.920864,2.880861e+02
saxpy,64,0.000000,0.907799,3.728795e+02
saxpy,128,0.000000,1.028112,3.960502e+02
saxpy,128,0.000000,1.103449,5.600704e+02
saxpy,128,0.000000,1.036437,7.240905e+02
saxpy,256,0.000000,1.135256,7.785206e+02
saxpy,256,0.000000,1.127754,1.105592e+03
saxpy,256,0.000000,1.137778,1.432663e+03
saxpy,512,0.000001,1.197661,1.513666e+03
saxpy,512,0.000001,1.187935,2.147242e+03
saxpy,512,0.000001,1.200469,2.780817e+03
saxpy,1024,0.000002,1.231509,3.044662e+03
saxpy,1024,0.000002,1.215430,4.312233e+03
saxpy,1024,0.000002,1.232250,5.579803e+03
saxpy,2048,0.000003,1.252216,6.179817e+03
saxpy,2048,0.000003,1.234851,8.761754e+03
saxpy,2048,0.000003,1.312821,1.134369e+04
saxpy,4096,0.000003,2.474177,1.242809e+04
saxpy,4096,0.000005,1.750801,1.761623e+04
saxpy,4096,0.000005,1.737434,2.280437e+04
saxpy,8192,0.000007,2.335900,2.475970e+04
saxpy,8192,0.000011,1.435808,3.509025e+04
saxpy,8192,0.000007,2.443550,4.542079e+04
saxpy,16384,0.000013,2.480545,4.927765e+04
saxpy,16384,0.000014,2.419910,6.984132e+04
saxpy,16384,0.000019,1.754176,9.040499e+04
saxpy,32768,0.000027,2.407818,9.853922e+04
saxpy,32768,0.000028,2.369770,1.396587e+05
saxpy,32768,0.000027,2.439366,1.807783e+05
saxpy,65536,0.000079,1.660842,1.969237e+05
saxpy,65536,0.000118,1.109510,2.790174e+05
saxpy,65536,0.000069,1.911479,3.611112e+05
saxpy,131072,0.000101,2.603916,3.930880e+05
saxpy,131072,0.000138,1.897463,5.568867e+05
saxpy,131072,0.000118,2.229931,7.206853e+05
saxpy,262144,0.000283,1.852333,7.867611e+05
saxpy,262144,0.000255,2.058518,1.114621e+06
saxpy,262144,0.000338,1.552710,1.442481e+06
saxpy,524288,0.000474,2.214110,1.574512e+06
saxpy,524288,0.000460,2.280584,2.230821e+06
saxpy,524288,0.000458,2.288982,2.887131e+06
saxpy,1048576,0.001009,2.077567,3.148281e+06
saxpy,1048576,0.001031,2.034527,4.460487e+06
saxpy,1048576,0.000996,2.106245,5.772693e+06
saxpy,2097152,0.002398,1.748951,6.292584e+06
saxpy,2097152,0.002370,1.769971,8.914758e+06
saxpy,2097152,0.002241,1.871283,1.153693e+07
saxpy,4194304,0.004505,1.861974,1.258245e+07
saxpy,4194304,0.004552,1.842885,1.782515e+07
saxpy,4194304,0.005928,1.415073,2.306785e+07
saxpy,8388608,0.011103,1.511087,2.516133e+07
saxpy,8388608,0.008925,1.879793,3.564546e+07
saxpy,8388608,0.010243,1.637922,4.612958e+07
saxpy,16777216,0.022458,1.494117,5.031999e+07
saxpy,16777216,0.020478,1.638534,7.128630e+07
saxpy,16777216,0.022345,1.501632,9.225262e+07
saxpy,33554432,0.044651,1.502980,1.006532e+08
saxpy,33554432,0.055310,1.213315,1.425920e+08
saxpy,33554432,0.042830,1.566877,1.845307e+08
saxpy,67108864,0.082663,1.623681,2.013021e+08
saxpy,67108864,0.088013,1.524975,2.851785e+08
saxpy,67108864,0.076470,1.755158,3.690550e+08
