kernel,n,time_s,gflops,checksum
saxpy,1,0.000001,0.003831,4.973140e-01
saxpy,1,0.000000,0.017094,5.809888e-01
saxpy,1,0.000000,0.025974,6.646637e-01
saxpy,2,0.000000,0.023952,4.372979e+00
saxpy,2,0.000000,0.027397,6.183243e+00
saxpy,2,0.000000,0.044444,7.993507e+00
saxpy,4,0.000000,0.035398,9.700849e+00
saxpy,4,0.000000,0.058824,1.361817e+01
saxpy,4,0.000000,0.119403,1.753549e+01
saxpy,8,0.000000,0.079208,1.684382e+01
saxpy,8,0.000000,0.100629,2.348928e+01
saxpy,8,0.000000,0.228572,3.013474e+01
saxpy,16,0.000000,0.160000,4.375179e+01
saxpy,16,0.000000,0.177778,6.153665e+01
saxpy,16,0.000000,0.217687,7.932152e+01
saxpy,32,0.000000,0.306220,1.040634e+02
saxpy,32,0.000000,0.355556,1.480929e+02
saxpy,32,0.000000,0.761905,1.921225e+02
saxpy,64,0.000000,0.815288,2.032927e+02
saxpy,64,0.000000,1.007874,2.880861e+02
saxpy,64,0.000000,1.580246,3.728795e+02
saxpy,128,0.000000,1.600003,3.960502e+02
saxpy,128,0.000000,3.413328,5.600704e+02
saxpy,128,0.000000,3.160492,7.240905e+02
saxpy,256,0.000000,4.095999,7.785206e+02
saxpy,256,0.000000,4.612624,1.105592e+03
saxpy,256,0.000000,6.095237,1.432663e+03
saxpy,512,0.000000,5.278344,1.513666e+03
saxpy,512,0.000000,5.094535,2.147242e+03
saxpy,512,0.000000,7.529416,2.780817e+03
saxpy,1024,0.000000,8.904336,3.044662e+03
saxpy,1024,0.000000,7.787074,4.312233e+03
saxpy,1024,0.000000,9.799040,5.579803e+03
saxpy,2048,0.000000,14.222215,6.179817e+03
saxpy,2048,0.000000,9.990250,8.761754e+03
saxpy,2048,0.000000,13.086267,1.134369e+04
saxpy,4096,0.000001,15.906796,1.242809e+04
saxpy,4096,0.000001,9.459585,1.761623e+04
saxpy,4096,0.000000,16.718373,2.280437e+04
saxpy,8192,0.000001,11.611622,2.475970e+04
saxpy,8192,0.000002,8.909189,3.509025e+04
saxpy,8192,0.000001,11.299313,4.542079e+04
saxpy,16384,0.000011,2.898797,4.927765e+04
saxpy,16384,0.000005,7.126577,6.984132e+04
saxpy,16384,0.000003,11.946044,9.040499e+04
saxpy,32768,0.000006,11.427376,9.853922e+04
saxpy,32768,0.000007,10.036141,1.396587e+05
saxpy,32768,0.000005,12.272659,1.807783e+05
saxpy,65536,0.000022,6.049105,1.969237e+05
saxpy,65536,0.000022,6.088160,2.790174e+05
saxpy,65536,0.000012,10.601957,3.611112e+05
saxpy,131072,0.000038,6.948998,3.930880e+05
saxpy,131072,0.000035,7.522498,5.568867e+05
saxpy,131072,0.000031,8.505094,7.206853e+05
saxpy,262144,0.000088,5.928177,7.867611e+05
saxpy,262144,0.000053,9.838394,1.114621e+06
saxpy,262144,0.000046,11.446087,1.442481e+06
saxpy,524288,0.000161,6.525743,1.574512e+06
saxpy,524288,0.000084,12.476958,2.230821e+06
saxpy,524288,0.000086,12.174624,2.887131e+06
saxpy,1048576,0.000402,5.214915,3.148281e+06
saxpy,1048576,0.000216,9.726013,4.460487e+06
saxpy,1048576,0.000199,10.537711,5.772693e+06
saxpy,2097152,0.002260,1.855865,6.292584e+06
saxpy,2097152,0.000899,4.667474,8.914758e+06
saxpy,2097152,0.000742,5.652404,1.153693e+07
saxpy,4194304,0.001966,4.267561,1.258245e+07
saxpy,4194304,0.002161,3.881881,1.782515e+07
saxpy,4194304,0.001820,4.608631,2.306785e+07
saxpy,8388608,0.004361,3.847495,2.516133e+07
saxpy,8388608,0.003220,5.210830,3.564546e+07
saxpy,8388608,0.003836,4.373784,4.612958e+07
saxpy,16777216,0.009219,3.639771,5.031999e+07
saxpy,16777216,0.008329,4.028689,7.128630e+07
saxpy,16777216,0.010023,3.347749,9.225262e+07
saxpy,33554432,0.012381,5.420213,1.006532e+08
saxpy,33554432,0.022977,2.920691,1.425920e+08
saxpy,33554432,0.025892,2.591918,1.845307e+08
saxpy,67108864,0.043730,3.069255,2.013021e+08
saxpy,67108864,0.033931,3.955578,2.851785e+08
saxpy,67108864,0.057547,2.332304,3.690550e+08
