kernel,n,time_s,gflops,checksum
dot,1024,0.000002860,0.716084,5.095200e+02
dot,1024,0.000002860,0.716084,5.095200e+02
dot,1024,0.000002860,0.716084,5.095200e+02
dot,2048,0.000005660,0.723675,1.015942e+03
dot,2048,0.000005660,0.723675,1.015942e+03
dot,2048,0.000005660,0.723675,1.015942e+03
dot,4096,0.000011350,0.721762,2.051809e+03
dot,4096,0.000011780,0.695416,2.051809e+03
dot,4096,0.000011820,0.693063,2.051809e+03
dot,8192,0.000022490,0.728502,4.098619e+03
dot,8192,0.000022410,0.731102,4.098619e+03
dot,8192,0.000022410,0.731102,4.098619e+03
dot,16384,0.000044760,0.732082,8.150300e+03
dot,16384,0.000044750,0.732246,8.150300e+03
dot,16384,0.000051210,0.639875,8.150300e+03
dot,32768,0.000089430,0.732819,1.630019e+04
dot,32768,0.000089450,0.732655,1.630019e+04
dot,32768,0.000089441,0.732729,1.630019e+04
dot,65536,0.000178851,0.732856,3.273611e+04
dot,65536,0.000182921,0.716550,3.273611e+04
dot,65536,0.000178890,0.732696,3.273611e+04
dot,131072,0.000358212,0.731812,6.549074e+04
dot,131072,0.000362571,0.723014,6.549074e+04
dot,131072,0.000358112,0.732017,6.549074e+04
dot,262144,0.000720934,0.727234,1.310408e+05
dot,262144,0.000719694,0.728487,1.310408e+05
dot,262144,0.000762163,0.687895,1.310408e+05
dot,524288,0.001440248,0.728052,2.618921e+05
dot,524288,0.001437288,0.729552,2.618921e+05
dot,524288,0.001448067,0.724121,2.618921e+05
dot,1048576,0.002893634,0.724747,5.238682e+05
dot,1048576,0.002878474,0.728564,5.238682e+05
dot,1048576,0.002876884,0.728966,5.238682e+05
dot,2097152,0.005755859,0.728702,1.048236e+06
dot,2097152,0.005756398,0.728633,1.048236e+06
dot,2097152,0.005750338,0.729401,1.048236e+06
dot,4194304,0.010019940,0.837191,2.097055e+06
dot,4194304,0.010023470,0.836897,2.097055e+06
dot,4194304,0.010035970,0.835854,2.097055e+06
