kernel,n,time_s,gflops,checksum
element,1024,0.000001190,0.860505,2.496851e+02
element,1024,0.000001180,0.867796,2.496851e+02
element,1024,0.000001240,0.825807,2.496851e+02
element,2048,0.000002410,0.849793,5.098744e+02
element,2048,0.000002400,0.853333,5.098744e+02
element,2048,0.000002820,0.726241,5.098744e+02
element,4096,0.000004550,0.900220,1.040904e+03
element,4096,0.000006050,0.677025,1.040904e+03
element,4096,0.000006010,0.681531,1.040904e+03
element,8192,0.000012100,0.677025,2.069511e+03
element,8192,0.000009310,0.879914,2.069511e+03
element,8192,0.000011180,0.732737,2.069511e+03
element,16384,0.000020890,0.784299,4.099263e+03
element,16384,0.000017960,0.912249,4.099263e+03
element,16384,0.000017960,0.912249,4.099263e+03
element,32768,0.000042970,0.762579,8.206172e+03
element,32768,0.000039200,0.835918,8.206172e+03
element,32768,0.000042990,0.762224,8.206172e+03
element,65536,0.000073470,0.892010,1.642470e+04
element,65536,0.000077891,0.841381,1.642470e+04
element,65536,0.000076471,0.857005,1.642470e+04
element,131072,0.000155980,0.840313,3.277287e+04
element,131072,0.000156281,0.838694,3.277287e+04
element,131072,0.000159401,0.822278,3.277287e+04
element,262144,0.000312521,0.838804,6.560536e+04
element,262144,0.000306562,0.855109,6.560536e+04
element,262144,0.000309812,0.846139,6.560536e+04
element,524288,0.000625613,0.838039,1.311431e+05
element,524288,0.000632343,0.829120,1.311431e+05
element,524288,0.000638603,0.820992,1.311431e+05
element,1048576,0.001297036,0.808440,2.623780e+05
element,1048576,0.001288916,0.813533,2.623780e+05
element,1048576,0.001304506,0.803811,2.623780e+05
element,2097152,0.002544633,0.824147,5.245452e+05
element,2097152,0.002534543,0.827428,5.245452e+05
element,2097152,0.002553503,0.821284,5.245452e+05
element,4194304,0.005069375,0.827381,1.049121e+06
element,4194304,0.005075985,0.826303,1.049121e+06
element,4194304,0.005024655,0.834745,1.049121e+06
