kernel,n,time_s,gflops,checksum
dot,1024,0.000000050,40.960433,5.095200e+02
dot,1024,0.000000050,40.959688,5.095200e+02
dot,1024,0.000000040,51.199377,5.095200e+02
dot,2048,0.000000040,102.398755,1.015942e+03
dot,2048,0.000000050,81.920866,1.015942e+03
dot,2048,0.000000050,81.920866,1.015942e+03
dot,4096,0.000000050,163.838752,2.051809e+03
dot,4096,0.000000070,117.028289,2.051809e+03
dot,4096,0.000000060,136.532708,2.051809e+03
dot,8192,0.000000060,273.069554,4.098619e+03
dot,8192,0.000000050,327.683465,4.098619e+03
dot,8192,0.000000040,409.604332,4.098619e+03
dot,16384,0.000000040,819.208663,8.150300e+03
dot,16384,0.000000050,655.366931,8.150300e+03
dot,16384,0.000000040,819.208663,8.150300e+03
dot,32768,0.000000050,1310.733862,1.630019e+04
dot,32768,0.000000040,1638.380074,1.630019e+04
dot,32768,0.000000050,1310.710020,1.630019e+04
dot,65536,0.000000040,3276.834654,3.273611e+04
dot,65536,0.000000040,3276.760148,3.273611e+04
dot,65536,0.000000050,2621.467723,3.273611e+04
dot,131072,0.000000040,6553.520296,6.549074e+04
dot,131072,0.000000040,6553.520296,6.549074e+04
dot,131072,0.000000050,5242.935446,6.549074e+04
dot,262144,0.000000050,10485.680157,1.310408e+05
dot,262144,0.000000050,10485.680157,1.310408e+05
dot,262144,0.000000050,10485.680157,1.310408e+05
dot,524288,0.000000050,20971.360314,2.618921e+05
dot,524288,0.000000040,26214.081185,2.618921e+05
dot,524288,0.000000050,20971.360314,2.618921e+05
dot,1048576,0.000000050,41942.720627,5.238682e+05
dot,1048576,0.000000050,41942.720627,5.238682e+05
dot,1048576,0.000000060,34952.373152,5.238682e+05
dot,2097152,0.000000040,104858.708923,1.048236e+06
dot,2097152,0.000000050,83885.441255,1.048236e+06
dot,2097152,0.000000050,83885.441255,1.048236e+06
dot,4194304,0.000000040,209717.417846,2.097055e+06
dot,4194304,0.000000040,209712.649482,2.097055e+06
dot,4194304,0.000000050,167773.934277,2.097055e+06
