kernel,n,time_s,gflops,checksum
element,1024,0.000000190,5.389479,2.496851e+02
element,1024,0.000000110,9.309112,2.496851e+02
element,1024,0.000000100,10.240015,2.496851e+02
element,2048,0.000000180,11.377783,5.098744e+02
element,2048,0.000000170,12.047057,5.098744e+02
element,2048,0.000000190,10.778958,5.098744e+02
element,4096,0.000000390,10.502577,1.040904e+03
element,4096,0.000000790,5.184805,1.040904e+03
element,4096,0.000000720,5.688884,1.040904e+03
element,8192,0.000001110,7.380180,2.069511e+03
element,8192,0.000000790,10.369622,2.069511e+03
element,8192,0.000000700,11.702844,2.069511e+03
element,16384,0.000001330,12.318801,4.099263e+03
element,16384,0.000001920,8.533331,4.099263e+03
element,16384,0.000001610,10.176402,4.099263e+03
element,32768,0.000002620,12.506872,8.206172e+03
element,32768,0.000002630,12.459314,8.206172e+03
element,32768,0.000002630,12.459314,8.206172e+03
element,65536,0.000005620,11.661211,1.642470e+04
element,65536,0.000005670,11.558377,1.642470e+04
element,65536,0.000005730,11.437348,1.642470e+04
element,131072,0.000012550,10.443984,3.277287e+04
element,131072,0.000011980,10.940901,3.277287e+04
element,131072,0.000012060,10.868325,3.277287e+04
element,262144,0.000025281,10.369210,6.560536e+04
element,262144,0.000024340,10.770090,6.560536e+04
element,262144,0.000023530,11.140842,6.560536e+04
element,524288,0.000053251,9.845599,1.311431e+05
element,524288,0.000048560,10.796705,1.311431e+05
element,524288,0.000047520,11.032997,1.311431e+05
element,1048576,0.000111420,9.411021,2.623780e+05
element,1048576,0.000105871,9.904280,2.623780e+05
element,1048576,0.000103600,10.121390,2.623780e+05
element,2097152,0.000225701,9.291727,5.245452e+05
element,2097152,0.000223381,9.388229,5.245452e+05
element,2097152,0.000211281,9.925890,5.245452e+05
element,4194304,0.000436392,9.611322,1.049121e+06
element,4194304,0.000432702,9.693285,1.049121e+06
element,4194304,0.000430012,9.753923,1.049121e+06
