kernel,n,time_s,gflops,checksum
saxpy,1024,0.000000180,11.377783,3.044662e+03
saxpy,1024,0.000000110,18.618225,3.044662e+03
saxpy,1024,0.000000100,20.480030,3.044662e+03
saxpy,2048,0.000000160,25.600125,6.179817e+03
saxpy,2048,0.000000150,27.306624,6.179817e+03
saxpy,2048,0.000000150,27.306624,6.179817e+03
saxpy,4096,0.000000360,22.755566,1.242809e+04
saxpy,4096,0.000000350,23.405719,1.242809e+04
saxpy,4096,0.000000310,26.425776,1.242809e+04
saxpy,8192,0.000001000,16.383994,2.475970e+04
saxpy,8192,0.000001240,13.212898,2.475970e+04
saxpy,8192,0.000000490,33.436716,2.475970e+04
saxpy,16384,0.000001240,26.425795,4.927765e+04
saxpy,16384,0.000001540,21.277921,4.927765e+04
saxpy,16384,0.000001250,26.214410,4.927765e+04
saxpy,32768,0.000001790,36.612306,9.853922e+04
saxpy,32768,0.000001750,37.449150,9.853922e+04
saxpy,32768,0.000001710,38.325144,9.853922e+04
saxpy,65536,0.000003590,36.510313,1.969237e+05
saxpy,65536,0.000003561,36.807637,1.969237e+05
saxpy,65536,0.000003490,37.556443,1.969237e+05
saxpy,131072,0.000008270,31.698187,3.930880e+05
saxpy,131072,0.000008760,29.925114,3.930880e+05
saxpy,131072,0.000008421,31.129796,3.930880e+05
saxpy,262144,0.000018630,28.142137,7.867611e+05
saxpy,262144,0.000018210,28.791213,7.867611e+05
saxpy,262144,0.000025900,20.242780,7.867611e+05
saxpy,524288,0.000039400,26.613604,1.574512e+06
saxpy,524288,0.000036440,28.775412,1.574512e+06
saxpy,524288,0.000034090,30.759050,1.574512e+06
saxpy,1048576,0.000072070,29.098821,3.148281e+06
saxpy,1048576,0.000077640,27.011231,3.148281e+06
saxpy,1048576,0.000072741,28.830398,3.148281e+06
saxpy,2097152,0.000170220,24.640489,6.292584e+06
saxpy,2097152,0.000157090,26.700006,6.292584e+06
saxpy,2097152,0.000156681,26.769704,6.292584e+06
saxpy,4194304,0.000316092,26.538501,1.258245e+07
saxpy,4194304,0.000316251,26.525159,1.258245e+07
saxpy,4194304,0.000322252,26.031205,1.258245e+07
